"notes","term","priref"
"Refers to the official heads of museums, which are institutions that maintain places where objects of value such as works of art, antiquities, scientific specimens, or other artifacts are housed and displayed for public benefit.","museum director","32792"
"Refers generally to associations of persons carrying on commercial or industrial enterprises.","company","32994"
"Verwijst naar de stijl en cultuur van het moderne Pakistan.","Pakistani","33117"
"Refers to the form of fiction established in the 20th century, though notable precursors were established in the 19th century, in reaction to the growing controversy over the impact of science on society and individuals. Generally, the term encompasses fiction that deals with fantasy with dominant elements of plausibility and deals with future conceptions of society that include the informed extrapolation of scientific principles as a legitimizing and directional component. Prominent examples in this genre from the 19th century include Mary Shelley's Frankenstein (1818) and Robert Louis Stevenson's Strange Case of Dr. Jekyll and Mr. Hyde (1886); examples from the 20th century include works by Jules Verne, H.G. Wells, Hugo Gernsback, and Isaac Asimov. Later in the 20th century, the elements of science fiction appear in works by Kurt Vonnegut, C.S. Lewis, and Ray Bradbury, featuring future scenarios of human society and the possible consequences of space travel and extraterrestrial life.","science fiction","33172"
"","silver factory","33369"
"Refers to those who organize, manage, and usually own a business entreprise, assuming the risks of profit or loss.","entrepreneur","33375"
"Establishments that specialize in making clay pottery, such as earthen pots or vessels.","pottery (manufactory)","33378"
"Manufactories or others who manufacture glass in various forms or items made of glass.","glass manufacturer","33380"
"The style and culture of the people of the nation of Ecuador, or of earlier Quechua and other Amerindian people who lived in the area.","Ecuadorian","33462"
"Persons who use movement, gesture, facial expressions, speaking, and intonation to create a fictional character for the stage, motion pictures, or television.","actor","33593"
"","Jamaican","33855"
"Narratives set in the distant past recounting events impossible in the real world, often magical and with fairies, but with humans as heroes and heroines.","fairy tale","33993"
"People or corporate bodies that make and/or decorate frames, which are cases or structures that surround or enclose such items as works of art, mirrors, or documents.","framemaker","34452"
"","frame gilder","34453"
"","Emilia School","34466"
"","Ferrara School","34467"
"Events taking place over a prolonged period and comprising open and declared hostile armed conflict between nations or parties within a nation. For individual instances of armed conflict, use ""battles.""","war","35373"
"Buildings that house establishments in which works of art are displayed for sale. For buildings where works of art are housed and displayed for public benefit, see ""art museums (buildings)."" ""","art dealer (shop)","35639"
"Nationality, culture, and style of the Netherlands Antilles autonomous Caribbean country within the Kingdom of the Netherlands.","Dutch Antillean","35641"
"General term for people who specialize in working with silver.","silver worker","35649"
"Craftsmen who shape objects by means of cutting tools while the piece of wood from which the objects are made rotates rapidly on a lathe.","turner","35662"
"Refers to a building or group of buildings with the function of housing the action or process of making goods or producing anything, whether before or after the Industrial Revolution of the mid-19th century.","factory (structure)","35981"
"Organizations, businesses, or companies, either public or private, that oversee the operation and finances of a railroad system infrastructure and its trains.","railroad (administrative)","35985"
"Large stores selling many different kinds of articles arranged in different departments or areas of the store.","department store (building)","35995"
"Facilities, office, or business where the printing of books or other works takes place.","printing plant","36003"
"Biomorphic forms or images are ones that while abstract nevertheless refer to, or evoke, living forms such as plants and the human body.","biomorphic abstraction","36992"
"Collectively, the items for the bed and table made of linen or other similar fabrics; may also be used for clothing made of linen from the Medieval period through the 19th century.","linen (textile works)","37102"
